threat_id,src_city,dst_city,src_state,dst_state,src_country,dst_country,src_longitude,dst_longitude,src_latitude,dst_latitude,atk_time,atk_type,atk_name
1,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.ahcep
2,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.ahcep
3,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.ahcep
4,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.agjrx
5,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.ahcep
6,Ankleshwar,Coimbatore,GJ,TN,India,India,73,76.9614,21.6,10.9925,1544415069,UNKNOWN,Infecting URL.TC.ahcep
7,UNKNOWN,Ankara,UNKNOWN,06,United States,Turkey,-97.822,32.8015,37.751,39.9779,1544415071,UNKNOWN,Operator.Virus.Win32.Sality.t.h
8,Singapore,Ankara,01,06,Singapore,Turkey,103.8558,32.8015,1.2931,39.9779,1544415071,UNKNOWN,Operator.Virus.Win32.Sality.t.bc
9,Yanbu,Ankara,03,06,Saudi Arabia,Turkey,38.0637,32.8015,24.0891,39.9779,1544415071,UNKNOWN,Operator.Virus.Win32.Sality.s.s
10,UNKNOWN,Ankara,UNKNOWN,06,United States,Turkey,-97.822,32.8015,37.751,39.9779,1544415071,UNKNOWN,Operator.Virus.Win32.Sality.s
11,Frankfurt am Main,Ankara,HE,06,Germany,Turkey,8.6823,32.8015,50.1153,39.9779,1544415071,UNKNOWN,Sality.TC.ar
12,Walnut,Ankara,CA,06,United States,Turkey,-117.8546,32.8015,34.0183,39.9779,1544415071,UNKNOWN,Sality.TC.brd
13,UNKNOWN,Ankara,UNKNOWN,06,Turkey,Turkey,28.9948,32.8015,41.0214,39.9779,1544415071,UNKNOWN,Operator.Virus.Win32.Sality.t.a
14,Toronto,Ankara,ON,06,Canada,Turkey,-79.4921,32.8015,43.7694,39.9779,1544415070,UNKNOWN,Operator.Virus.Win32.Sality.t.bd
15,Seattle,Edegem,WA,VAN,United States,Belgium,-122.3305,4.45,47.6114,51.15,1544415071,UNKNOWN,Generic.TC.rjt
16,UNKNOWN,Mumbai,UNKNOWN,MH,United Kingdom,India,-0.1224,72.8258,51.4964,18.975,1544415071,UNKNOWN,Infecting URL.TC.ahcep
17,UNKNOWN,Mumbai,UNKNOWN,MH,United Kingdom,India,-0.1224,72.8258,51.4964,18.975,1544415071,UNKNOWN,Infecting URL.TC.agmkq
18,UNKNOWN,Mumbai,UNKNOWN,MH,United Kingdom,India,-0.1224,72.8258,51.4964,18.975,1544415071,UNKNOWN,Infecting URL.TC.acvib
19,UNKNOWN,Suzhou,UNKNOWN,JS,China,China,113.7266,120.5954,34.7725,31.3041,1544415071,UNKNOWN,Phishing_website.ecjs
20,UNKNOWN,Suzhou,UNKNOWN,JS,China,China,113.7266,120.5954,34.7725,31.3041,1544415071,UNKNOWN,Phishing_website.ecjs
21,UNKNOWN,Suzhou,UNKNOWN,JS,China,China,113.7266,120.5954,34.7725,31.3041,1544415071,UNKNOWN,Phishing_website.ecjs
22,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
23,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
24,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
25,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
26,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
27,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
28,UNKNOWN,Moscow,UNKNOWN,MOW,Russian Federation,Russian Federation,37.6068,37.6156,55.7386,55.7522,1544415279,UNKNOWN,Dorkbot.TC.agr
29,Los Angeles,Johannesburg,CA,GT,United States,South Africa,-118.4259,28.0583,34.0353,-26.2309,1544415285,UNKNOWN,CnC Server.TC.rvlr
30,Los Angeles,Johannesburg,CA,GT,United States,South Africa,-118.4259,28.0583,34.0353,-26.2309,1544415285,UNKNOWN,CnC Server.TC.rvlr
31,UNKNOWN,Atyrau,UNKNOWN,ATY,United States,Kazakhstan,-97.822,51.8833,37.751,47.1167,1544415285,UNKNOWN,Magnitude EK.TC.q
32,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
33,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
34,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
35,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
36,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
37,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
38,UNKNOWN,Atyrau,UNKNOWN,ATY,United States,Kazakhstan,-97.822,51.8833,37.751,47.1167,1544415285,UNKNOWN,Magnitude EK.TC.q
39,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
40,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
41,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
42,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
43,UNKNOWN,Atyrau,UNKNOWN,ATY,United States,Kazakhstan,-97.822,51.8833,37.751,47.1167,1544415285,UNKNOWN,Magnitude EK.TC.q
44,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
45,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
46,UNKNOWN,Atyrau,UNKNOWN,ATY,United States,Kazakhstan,-97.822,51.8833,37.751,47.1167,1544415285,UNKNOWN,Magnitude EK.TC.q
47,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
48,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
49,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
50,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
51,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
52,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
53,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
54,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
55,UNKNOWN,Atyrau,UNKNOWN,ATY,Russian Federation,Kazakhstan,37.6068,51.8833,55.7386,47.1167,1544415285,UNKNOWN,Dorkbot.TC.agr
56,UNKNOWN,Shenyang,UNKNOWN,LN,China,China,113.7266,123.4328,34.7725,41.7922,1544415289,UNKNOWN,Phishing_website.ecjs
57,UNKNOWN,Beijing,UNKNOWN,BJ,China,China,113.7266,116.3889,34.7725,39.9288,1544415289,UNKNOWN,Trojan.Win32.Cryptor.A
58,UNKNOWN,Beijing,UNKNOWN,BJ,China,China,113.7266,116.3889,34.7725,39.9288,1544415289,UNKNOWN,Trojan.Win32.Cryptor.A
59,UNKNOWN,Beijing,UNKNOWN,BJ,China,China,113.7266,116.3889,34.7725,39.9288,1544415289,UNKNOWN,Trojan.Win32.Cryptor.A
60,Chantilly,Jackson,VA,MS,United States,United States,-77.4457,-90.2612,38.8867,32.2435,1544415290,UNKNOWN,Browserio.TC.aj
61,Chantilly,Jackson,VA,MS,United States,United States,-77.4457,-90.2612,38.8867,32.2435,1544415290,UNKNOWN,Browserio.TC.aj
62,Ashburn,Wellington,VA,WGN,United States,New Zealand,-77.4728,174.7756,39.0481,-41.2866,1544415293,UNKNOWN,Hiddenapp.TC.t
63,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
64,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
65,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
66,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
67,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
68,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
69,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
70,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
71,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
72,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
73,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
74,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
75,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
76,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
77,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
78,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
79,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
80,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
81,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
82,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
83,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
84,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
85,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
86,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
87,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
88,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
89,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
90,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
91,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
92,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
93,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
94,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
95,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
96,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
97,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
98,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
99,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
100,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
101,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
102,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
103,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
104,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
105,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
106,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
107,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
108,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
109,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
110,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
111,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
112,UNKNOWN,San Salvador,UNKNOWN,SS,Netherlands,El Salvador,4.8995,-89.2031,52.3824,13.7086,1544415295,UNKNOWN,Possible IRC Bot Communication.C
113,UNKNOWN,St Petersburg,UNKNOWN,SPE,Germany,Russian Federation,9.491,30.2642,51.2993,59.8944,1544415297,UNKNOWN,Infecting Website.TC.snm
114,Weifang,Shantou,SD,GD,China,China,119.1019,116.0922,36.71,23.4522,1544415297,UNKNOWN,Phishing.dkzzjt
115,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415298,UNKNOWN,Phishing.dkzvww
116,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415297,UNKNOWN,Phishing.dkzvww
117,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415298,UNKNOWN,Phishing.dkzvww
118,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415298,UNKNOWN,Phishing.dkzvww
119,Weifang,Shantou,SD,GD,China,China,119.1019,116.0922,36.71,23.4522,1544415298,UNKNOWN,Phishing.dkzzjt
120,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415297,UNKNOWN,Phishing.dkzvww
121,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415298,UNKNOWN,Phishing.dkzvww
122,Shenzhen,Shantou,GD,GD,China,China,114.1333,116.0922,22.5333,23.4522,1544415298,UNKNOWN,Phishing.dkzvww
123,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
124,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
125,Shanghai,UNKNOWN,SH,TJ,China,China,121.3997,117.1767,31.0456,39.1422,1544415299,UNKNOWN,Phishing.dkzzky
126,UNKNOWN,UNKNOWN,TJ,TJ,China,China,117.1767,117.1767,39.1422,39.1422,1544415299,UNKNOWN,REP.TC.gtjjc
127,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
128,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
129,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
130,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
131,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
132,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
133,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
134,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
135,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
136,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
137,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
138,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
139,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
140,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
141,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
142,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
143,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
144,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
145,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
146,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
147,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
148,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
149,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
150,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
151,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
152,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
153,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
154,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
155,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
156,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
157,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
158,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
159,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
160,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
161,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
162,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
163,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
164,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
165,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
166,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
167,UNKNOWN,Hadera,UNKNOWN,HA,China,Israel,113.7266,34.9196,34.7725,32.4364,1544415299,UNKNOWN,Trojan.WIN32.XMRig.A
